title;link;id;stars;score;date
Genua (NL);https://www.youtube.com/watch?v=4Dkv1ypylEQ;4Dkv1ypylEQ;;;28-07-2012
Hacienda (NL);https://www.youtube.com/watch?v=prwf4NdnnMY;prwf4NdnnMY;;;21-07-2012
Tinner's Trail (NL);https://www.youtube.com/watch?v=_9Kry9KmDhs;_9Kry9KmDhs;;;19-07-2012
Puerto Rico - Het Kaartspel (NL);https://www.youtube.com/watch?v=u2O1vDEG-HM;u2O1vDEG-HM;;;17-07-2012
Glory to Rome NL;https://www.youtube.com/watch?v=ytROagXwLLQ;ytROagXwLLQ;;8;17-07-2012
Tomb Raider CCG (NL);https://www.youtube.com/watch?v=jEwoX6c4eXU;jEwoX6c4eXU;;;16-07-2012
Dragonhunt (NL);https://www.youtube.com/watch?v=zMvdoIILSYY;zMvdoIILSYY;;;08-07-2012
Kolonisten van Catan - De Val van Rome (NL);https://www.youtube.com/watch?v=pb0f03O8br0;pb0f03O8br0;;;05-07-2012
Gears of War (NL) - Deel 2 / 2;https://www.youtube.com/watch?v=X9WWP0F7vXU;X9WWP0F7vXU;;;05-07-2012
Gears of War (NL) - Deel 1 / 2;https://www.youtube.com/watch?v=5ai1nKe6ufU;5ai1nKe6ufU;;;05-07-2012
Principato (NL);https://www.youtube.com/watch?v=linxoBiECtU;linxoBiECtU;;;04-07-2012
Dixit Jinx (NL);https://www.youtube.com/watch?v=DeZbwz8pMHI;DeZbwz8pMHI;;;04-07-2012
Discworld Ankh-Morpork (NL);https://www.youtube.com/watch?v=PlMyZpuKEeA;PlMyZpuKEeA;;;28-06-2012
Rotterdam - Masters of Trade Expansion;https://www.youtube.com/watch?v=5FlJsV0tcv4;5FlJsV0tcv4;;7;28-06-2012
Metropolis (NL);https://www.youtube.com/watch?v=pdNgpjzChh0;pdNgpjzChh0;;;27-06-2012
Foute Vrienden Vette Feesten (NL);https://www.youtube.com/watch?v=gZRsZyf8Q2U;gZRsZyf8Q2U;;;21-06-2012
Isla Dorada (NL);https://www.youtube.com/watch?v=6wsUY4F3ofM;6wsUY4F3ofM;;;21-06-2012
Battletech - CCG (NL);https://www.youtube.com/watch?v=W8RD11yP_t8;W8RD11yP_t8;;;12-06-2012
Vrijdag (NL);https://www.youtube.com/watch?v=C24_qdM7jpg;C24_qdM7jpg;;;07-06-2012
Opera (NL);https://www.youtube.com/watch?v=RHdbHKuCFBo;RHdbHKuCFBo;;;07-06-2012
Gubs (NL);https://www.youtube.com/watch?v=w599e0k4xgU;w599e0k4xgU;;;07-06-2012
Space Alert (NL);https://www.youtube.com/watch?v=t99AaqbP-Ew;t99AaqbP-Ew;;;07-06-2012
Voor de Poorten van Loyang (NL);https://www.youtube.com/watch?v=fm7ME43PjvM;fm7ME43PjvM;;;07-06-2012
Manilla (NL);https://www.youtube.com/watch?v=HHmR5CYrIDU;HHmR5CYrIDU;;;05-06-2012
Korsar (NL);https://www.youtube.com/watch?v=FJQn8Sya_ns;FJQn8Sya_ns;;;05-06-2012
Bizon (NL);https://www.youtube.com/watch?v=5ny7Ueowto8;5ny7Ueowto8;;8;02-06-2012
Captain Jack's Gold (NL);https://www.youtube.com/watch?v=aOA9EmKHnT4;aOA9EmKHnT4;;;02-06-2012
